Last Checked,Rank,Company,Plan,Estimated Annual Bill,Source
27/06/2026 23:05,1,Yuno Energy,Yuno Energy - 1 Year Discount Electricity,"€1,489.15",Bonkers.ie
27/06/2026 23:05,2,SSE Airtricity,SSE Airtricity - 30% Electricity,"€1,492.05",Bonkers.ie
27/06/2026 23:05,3,Electric Ireland,Electric Ireland - EnergySaver Electricity 18%,"€1,504.06",Bonkers.ie
27/06/2026 23:05,4,Bord Gáis Energy,Bord Gáis Energy - Electricity 26%,"€1,556.62",Bonkers.ie
27/06/2026 23:05,5,SSE Airtricity,SSE Airtricity - 23% Electricity,"€1,612.96",Bonkers.ie
27/06/2026 23:05,6,SSE Airtricity,SSE Airtricity - 17% Electricity,"€1,716.59",Bonkers.ie
27/06/2026 23:05,7,SSE Airtricity,SSE Airtricity - 10% Electricity,"€1,837.50",Bonkers.ie
27/06/2026 23:05,8,Electric Ireland,Electric Ireland - Standard Domestic Electricity,"€1,866.45",Bonkers.ie
